tick;position;velocity;acceleration;cubic_p;cubic_v; cubic_a;dpos;dvel
0;0;0;2;0;0;2;0;0
1;0,0001;0,02;2;0,0001;0,02;2;;
2;0,0004;0,04;2;0,0004;0,04;2;;
3;0,0009;0,06;2;0,0009;0,06;2;;
4;0,0016;0,08;2;0,0016;0,08;2;;
5;0,0025;0,1;2;0,0025;0,1;2;;
6;0,0036;0,12;2;0,0036;0,12;2;;
7;0,0049;0,14;2;0,0049;0,14;2;;
8;0,0064;0,16;2;0,0064;0,16;2;;
9;0,0081;0,18;2;0,0081;0,18;2;;
10;0,01;0,2;2;0,01;0,2;2;;
11;0,0121;0,22;2;0,0121;0,22;2;;
12;0,0144;0,24;2;0,0144;0,24;2;;
13;0,0169;0,26;2;0,0169;0,26;2;;
14;0,0196;0,28;2;0,0196;0,28;2;;
15;0,0225;0,3;2;0,0225;0,3;2;;
16;0,0256;0,32;2;0,0256;0,32;2;;
17;0,0289;0,34;2;0,0289;0,34;2;;
18;0,0324;0,36;2;0,0324;0,36;2;;
19;0,0361;0,38;2;0,0361;0,38;2;;
20;0,04;0,4;2;0,04;0,4;2;;
21;0,0441;0,42;2;0,0441;0,42;2;;
22;0,0484;0,44;2;0,0484;0,44;2;;
23;0,0529;0,46;2;0,0529;0,46;2;;
24;0,0576;0,48;2;0,0576;0,48;2;;
25;0,0625;0,5;2;0,0625;0,5;2;;
26;0,0676;0,52;2;0,0676;0,52;2;;
27;0,0729;0,54;2;0,0729;0,54;2;;
28;0,0784;0,56;2;0,0784;0,56;2;;
29;0,0841;0,58;2;0,0841;0,58;2;;
30;0,09;0,6;2;0,09;0,6;2;;
31;0,0961;0,62;2;0,0961;0,62;2;;
32;0,1024;0,64;2;0,1024;0,64;2;;
33;0,1089;0,66;2;0,1089;0,66;2;;
34;0,1156;0,68;2;0,1156;0,68;2;;
35;0,1225;0,7;2;0,1225;0,7;2;;
36;0,1296;0,72;2;0,1296;0,72;2;;
37;0,1369;0,74;2;0,1369;0,74;2;;
38;0,1444;0,76;2;0,1444;0,76;2;;
39;0,1521;0,78;2;0,1521;0,78;2;;
40;0,16;0,8;2;0,16;0,8;2;;
41;0,1681;0,82;2;0,1681;0,82;2;;
42;0,1764;0,84;2;0,1764;0,84;2;;
43;0,1849;0,86;2;0,1849;0,86;2;;
44;0,1936;0,88;2;0,1936;0,88;2;;
45;0,2025;0,9;2;0,2025;0,9;2;;
46;0,2116;0,92;2;0,2116;0,92;2;;
47;0,2209;0,94;2;0,2209;0,94;2;;
48;0,2304;0,96;2;0,2304;0,96;2;;
49;0,2401;0,98;2;0,2401;0,98;2;;
50;0,25;1;2;0,25;1;2;;
51;0,2601;1,02;2;0,2601;1,02;2;;
52;0,2704;1,04;2;0,2704;1,04;2;;
53;0,2809;1,06;2;0,2809;1,06;2;;
54;0,2916;1,08;2;0,2916;1,08;2;;
55;0,3025;1,1;2;0,3025;1,1;2;;
56;0,3136;1,12;2;0,3136;1,12;2;;
57;0,3249;1,14;2;0,3249;1,14;2;;
58;0,3364;1,16;2;0,3364;1,16;2;;
59;0,3481;1,18;2;0,3481;1,18;2;;
60;0,36;1,2;2;0,36;1,2;2;;
61;0,3721;1,22;2;0,3721;1,22;2;;
62;0,3844;1,24;2;0,3844;1,24;2;;
63;0,3969;1,26;2;0,3969;1,26;2;;
64;0,4096;1,28;2;0,4096;1,28;2;;
65;0,4225;1,3;2;0,4225;1,3;2;;
66;0,4356;1,32;2;0,4356;1,32;2;;
67;0,4489;1,34;2;0,4489;1,34;2;;
68;0,4624;1,36;2;0,4624;1,36;2;;
69;0,4761;1,38;2;0,4761;1,38;2;;
70;0,49;1,4;2;0,49;1,4;2;;
71;0,5041;1,42;2;0,5041;1,42;2;;
72;0,5184;1,44;2;0,5184;1,44;2;;
73;0,5329;1,46;2;0,5329;1,46;2;;
74;0,5476;1,48;2;0,5476;1,48;2;;
75;0,5625;1,5;2;0,5625;1,5;2;;
76;0,5776;1,52;2;0,5776;1,52;2;;
77;0,5929;1,54;2;0,5929;1,54;2;;
78;0,6084;1,56;2;0,6084;1,56;2;;
79;0,6241;1,58;2;0,6241;1,58;2;;
80;0,64;1,6;2;0,64;1,6;2;;
81;0,6561;1,62;2;0,6561;1,62;2;;
82;0,6724;1,64;2;0,6724;1,64;2;;
83;0,6889;1,66;2;0,6889;1,66;2;;
84;0,7056;1,68;2;0,7056;1,68;2;;
85;0,7225;1,7;2;0,7225;1,7;2;;
86;0,7396;1,72;2;0,7396;1,72;2;;
87;0,7569;1,74;2;0,7569;1,74;2;;
88;0,7744;1,76;2;0,7744;1,76;2;;
89;0,7921;1,78;2;0,7921;1,78;2;;
90;0,81;1,8;2;0,81;1,8;2;;
91;0,8281;1,82;2;0,8281;1,82;2;;
92;0,8464;1,84;2;0,8464;1,84;2;;
93;0,8649;1,86;2;0,8649;1,86;2;;
94;0,8836;1,88;2;0,8836;1,88;2;;
95;0,9025;1,9;2;0,9025;1,9;2;;
96;0,9216;1,92;2;0,9216;1,92;2;;
97;0,9409;1,94;2;0,9409;1,94;2;;
98;0,9604;1,96;2;0,9604;1,96;2;;
99;0,9801;1,98;2;0,9801;1,98;2;;
100;1;2;2;1;2;2;1;2
101;1,0201;2,02;2;1,0201;2,02;2;;
102;1,0404;2,04;2;1,0404;2,04;2;;
103;1,0609;2,06;2;1,0609;2,06;2;;
104;1,0816;2,08;2;1,0816;2,08;2;;
105;1,1025;2,1;2;1,1025;2,1;2;;
106;1,1236;2,12;2;1,1236;2,12;2;;
107;1,1449;2,14;2;1,1449;2,14;2;;
108;1,1664;2,16;2;1,1664;2,16;2;;
109;1,1881;2,18;2;1,1881;2,18;2;;
110;1,21;2,2;2;1,21;2,2;2;;
111;1,2321;2,22;2;1,2321;2,22;2;;
112;1,2544;2,24;2;1,2544;2,24;2;;
113;1,2769;2,26;2;1,2769;2,26;2;;
114;1,2996;2,28;2;1,2996;2,28;2;;
115;1,3225;2,3;2;1,3225;2,3;2;;
116;1,3456;2,32;2;1,3456;2,32;2;;
117;1,3689;2,34;2;1,3689;2,34;2;;
118;1,3924;2,36;2;1,3924;2,36;2;;
119;1,4161;2,38;2;1,4161;2,38;2;;
120;1,44;2,4;2;1,44;2,4;2;;
121;1,4641;2,42;2;1,4641;2,42;2;;
122;1,4884;2,44;2;1,4884;2,44;2;;
123;1,5129;2,46;2;1,5129;2,46;2;;
124;1,5376;2,48;2;1,5376;2,48;2;;
125;1,5625;2,5;2;1,5625;2,5;2;;
126;1,5876;2,52;2;1,5876;2,52;2;;
127;1,6129;2,54;2;1,6129;2,54;2;;
128;1,6384;2,56;2;1,6384;2,56;2;;
129;1,6641;2,58;2;1,6641;2,58;2;;
130;1,69;2,6;2;1,69;2,6;2;;
131;1,7161;2,62;2;1,7161;2,62;2;;
132;1,7424;2,64;2;1,7424;2,64;2;;
133;1,7689;2,66;2;1,7689;2,66;2;;
134;1,7956;2,68;2;1,7956;2,68;2;;
135;1,8225;2,7;2;1,8225;2,7;2;;
136;1,8496;2,72;2;1,8496;2,72;2;;
137;1,8769;2,74;2;1,8769;2,74;2;;
138;1,9044;2,76;2;1,9044;2,76;2;;
139;1,9321;2,78;2;1,9321;2,78;2;;
140;1,96;2,8;2;1,96;2,8;2;;
141;1,9881;2,82;2;1,9881;2,82;2;;
142;2,0164;2,84;2;2,0164;2,84;2;;
143;2,0449;2,86;2;2,0449;2,86;2;;
144;2,0736;2,88;2;2,0736;2,88;2;;
145;2,1025;2,9;2;2,1025;2,9;2;;
146;2,1316;2,92;2;2,1316;2,92;2;;
147;2,1609;2,94;2;2,1609;2,94;2;;
148;2,1904;2,96;2;2,1904;2,96;2;;
149;2,2201;2,98;2;2,2201;2,98;2;;
150;2,25;3;2;2,25;3;2;;
151;2,2801;3,02;2;2,2801;3,02;2;;
152;2,3104;3,04;2;2,3104;3,04;2;;
153;2,3409;3,06;2;2,3409;3,06;2;;
154;2,3716;3,08;2;2,3716;3,08;2;;
155;2,4025;3,1;2;2,4025;3,1;2;;
156;2,4336;3,12;2;2,4336;3,12;2;;
157;2,4649;3,14;2;2,4649;3,14;2;;
158;2,4964;3,16;2;2,4964;3,16;2;;
159;2,5281;3,18;2;2,5281;3,18;2;;
160;2,56;3,2;2;2,56;3,2;2;;
161;2,5921;3,22;2;2,5921;3,22;2;;
162;2,6244;3,24;2;2,6244;3,24;2;;
163;2,6569;3,26;2;2,6569;3,26;2;;
