tick;position;velocity;acceleration;cubic_p;cubic_v; cubic_a;dpos;dvel
40;1;2;2;1;2;2;1;2
41;1,050625;2,05;2;1,050625;2,05;2;;
42;1,1025;2,1;2;1,1025;2,1;2;;
43;1,155625;2,15;2;1,155625;2,15;2;;
44;1,21;2,2;2;1,21;2,2;2;;
45;1,265625;2,25;2;1,265625;2,25;2;;
46;1,3225;2,3;2;1,3225;2,3;2;;
47;1,380625;2,35;2;1,380625;2,35;2;;
48;1,44;2,4;2;1,44;2,4;2;;
49;1,500625;2,45;2;1,500625;2,45;2;;
50;1,5625;2,5;2;1,5625;2,5;2;;
51;1,625625;2,55;2;1,625625;2,55;2;;
52;1,69;2,6;2;1,69;2,6;2;;
53;1,755625;2,65;2;1,755625;2,65;2;;
54;1,8225;2,7;2;1,8225;2,7;2;;
55;1,890625;2,75;2;1,890625;2,75;2;;
56;1,96;2,8;2;1,96;2,8;2;;
57;2,030625;2,85;2;2,030625;2,85;2;;
58;2,1025;2,9;2;2,1025;2,9;2;;
59;2,175625;2,95;2;2,175625;2,95;2;;
60;2,25;3;2;2,25;3;2;;
61;2,325625;3,05;2;2,325625;3,05;2;;
62;2,4025;3,1;2;2,4025;3,1;2;;
63;2,480625;3,15;2;2,480625;3,15;2;;
64;2,56;3,2;2;2,56;3,2;2;;
65;2,640625;3,25;2;2,640625;3,25;2;;
66;2,7225;3,3;2;2,7225;3,3;2;;
67;2,805625;3,35;2;2,805625;3,35;2;;
68;2,89;3,4;2;2,89;3,4;2;;
69;2,975625;3,45;2;2,975625;3,45;2;;
70;3,0625;3,5;2;3,0625;3,5;2;;
71;3,150625;3,55;2;3,150625;3,55;2;;
72;3,24;3,6;2;3,24;3,6;2;;
73;3,330625;3,65;2;3,330625;3,65;2;;
74;3,4225;3,7;2;3,4225;3,7;2;;
75;3,515625;3,75;2;3,515625;3,75;2;;
76;3,61;3,8;2;3,61;3,8;2;;
77;3,705625;3,85;2;3,705625;3,85;2;;
78;3,8025;3,9;2;3,8025;3,9;2;;
79;3,900625;3,95;2;3,900625;3,95;2;;
80;4;4;2;4;4;0;4;4
81;4,1;4;0;4,1;4;0;;
82;4,2;4;0;4,2;4;0;;
83;4,3;4;0;4,3;4;0;;
84;4,4;4;0;4,4;4;0;;
85;4,5;4;0;4,5;4;0;;
86;4,6;4;0;4,6;4;0;;
87;4,7;4;0;4,7;4;0;;
88;4,8;4;0;4,8;4;0;;
89;4,9;4;0;4,9;4;0;;
90;5;4;0;5;4;0;;
91;5,1;4;0;5,1;4;0;;
92;5,2;4;0;5,2;4;0;;
93;5,3;4;0;5,3;4;0;;
94;5,4;4;0;5,4;4;0;;
95;5,5;4;0;5,5;4;0;;
96;5,6;4;0;5,6;4;0;;
97;5,7;4;0;5,7;4;0;;
98;5,8;4;0;5,8;4;0;;
99;5,9;4;0;5,9;4;0;;
100;6;4;0;6;4;0;;
101;6,1;4;0;6,1;4;0;;
102;6,2;4;0;6,2;4;0;;
103;6,3;4;0;6,3;4;0;;
104;6,4;4;0;6,4;4;0;;
105;6,5;4;0;6,5;4;0;;
106;6,6;4;0;6,6;4;0;;
107;6,7;4;0;6,7;4;0;;
108;6,8;4;0;6,8;4;0;;
109;6,9;4;0;6,9;4;0;;
110;7;4;0;7;4;0;;
111;7,1;4;0;7,1;4;0;;
112;7,2;4;0;7,2;4;0;;
113;7,3;4;0;7,3;4;0;;
114;7,4;4;0;7,4;4;0;;
115;7,5;4;0;7,5;4;0;;
116;7,6;4;0;7,6;4;0;;
117;7,7;4;0;7,7;4;0;;
118;7,8;4;0;7,8;4;0;;
119;7,9;4;0;7,9;4;0;;
120;8;4;0;8;4;0;8;4
121;8,1;4;0;8,1;4;0;;
122;8,2;4;0;8,2;4;0;;
123;8,3;4;0;8,3;4;0;;
124;8,4;4;0;8,4;4;0;;
125;8,5;4;0;8,5;4;0;;
126;8,6;4;0;8,6;4;0;;
127;8,7;4;0;8,7;4;0;;
128;8,8;4;0;8,8;4;0;;
129;8,9;4;0;8,9;4;0;;
130;9;4;0;9;4;0;;
131;9,1;4;0;9,1;4;0;;
132;9,2;4;0;9,2;4;0;;
133;9,3;4;0;9,3;4;0;;
134;9,4;4;0;9,4;4;0;;
135;9,5;4;0;9,5;4;0;;
136;9,6;4;0;9,6;4;0;;
137;9,7;4;0;9,7;4;0;;
138;9,8;4;0;9,8;4;0;;
139;9,9;4;0;9,9;4;0;;
140;10;4;0;10;4;0;;
141;10,1;4;0;10,1;4;0;;
142;10,2;4;0;10,2;4;0;;
143;10,3;4;0;10,3;4;0;;
144;10,4;4;0;10,4;4;0;;
145;10,5;4;0;10,5;4;0;;
146;10,6;4;0;10,6;4;0;;
147;10,7;4;0;10,7;4;0;;
148;10,8;4;0;10,8;4;0;;
149;10,9;4;0;10,9;4;0;;
150;11;4;0;11;4;0;;
151;11,1;4;0;11,1;4;0;;
152;11,2;4;0;11,2;4;0;;
153;11,3;4;0;11,3;4;0;;
154;11,4;4;0;11,4;4;0;;
155;11,5;4;0;11,5;4;0;;
156;11,6;4;0;11,6;4;0;;
157;11,7;4;0;11,7;4;0;;
158;11,8;4;0;11,8;4;0;;
159;11,9;4;0;11,9;4;0;;
160;12;4;0;12;4;0;12;4
161;12,1;4;0;12,1;4;0;;
162;12,2;4;0;12,2;4;0;;
163;12,3;4;0;12,3;4;0;;
164;12,4;4;0;12,4;4;0;;
165;12,5;4;0;12,5;4;0;;
166;12,6;4;0;12,6;4;0;;
167;12,7;4;0;12,7;4;0;;
168;12,8;4;0;12,8;4;0;;
169;12,9;4;0;12,9;4;0;;
170;13;4;0;13;4;0;;
171;13,1;4;0;13,1;4;0;;
172;13,2;4;0;13,2;4;0;;
173;13,3;4;0;13,3;4;0;;
174;13,4;4;0;13,4;4;0;;
175;13,5;4;0;13,5;4;0;;
176;13,6;4;0;13,6;4;0;;
177;13,7;4;0;13,7;4;0;;
178;13,8;4;0;13,8;4;0;;
179;13,9;4;0;13,9;4;0;;
180;14;4;0;14;4;0;;
181;14,1;4;0;14,1;4;0;;
182;14,2;4;0;14,2;4;0;;
183;14,3;4;0;14,3;4;0;;
184;14,4;4;0;14,4;4;0;;
185;14,5;4;0;14,5;4;0;;
186;14,6;4;0;14,6;4;0;;
187;14,7;4;0;14,7;4;0;;
