tick,position,velocity,acceleration
138,9.799999999999976,3.999999999999994,0
139,9.899999999999975,3.999999999999994,0
140,9.999999999999975,3.999999999999994,0
141,10.099999999999975,3.999999999999994,0
142,10.199999999999974,3.999999999999994,0
143,10.299999999999974,3.999999999999994,0
144,10.399999999999974,3.999999999999994,0
145,10.499999999999973,3.999999999999994,0
146,10.599999999999973,3.999999999999994,0
147,10.699999999999973,3.999999999999994,0
148,10.799999999999972,3.999999999999994,0
149,10.899999999999972,3.999999999999994,0
150,10.999999999999972,3.999999999999994,0
151,11.099999999999971,3.999999999999994,0
152,11.19999999999997,3.999999999999994,0
153,11.29999999999997,3.999999999999994,0
154,11.39999999999997,3.999999999999994,0
155,11.49999999999997,3.999999999999994,0
156,11.59999999999997,3.999999999999994,0
157,11.699999999999969,3.999999999999994,0
